	R	rate1	rate2	rate2/rate1
80	102.34114021054538	46.41530106217626	455.80581887195444	9.820162929922041
81	108.43659686896109	48.909381700516725	458.33464740935517	9.371098784602156
82	114.89510001873097	51.522256271086164	460.39851802387943	8.935915298458134
83	121.7382727739662	54.25792802379527	462.36132895661933	8.521544146577932
84	128.98902612533095	57.12035485743067	464.2361064498105	8.127332325027021
85	136.67163564620074	60.11342577613114	466.01622518725134	7.752281943184304
86	144.81182276745346	63.240936036151794	467.9228019195566	7.399049274856838
87	153.43684089300132	66.50655953064289	470.2053968369431	7.0700604595295005
88	162.5755666443795	69.9138191769024	471.62011474843615	6.745735253785799
89	172.25859653987874	73.46605591204964	472.55917557592664	6.432347152835507
90	182.51834943190443	77.16639417469902	474.2472420803464	6.145774299194097
91	193.38917504552322	81.01770914834042	475.40953117653316	5.8679705483411775
